station,SOC provided,whether_electrified,whether_electrified
3647,0,FALSE,FALSE
3648,0,FALSE,FALSE
3649,0,FALSE,FALSE
3656,0,FALSE,FALSE
3659,0,FALSE,FALSE
3666,0,FALSE,FALSE
3669,0,FALSE,FALSE
3671,0,FALSE,FALSE
3674,0,FALSE,FALSE
3676,0,FALSE,FALSE
3677,0,FALSE,FALSE
3679,0,FALSE,FALSE
3684,0,FALSE,FALSE
3686,0,FALSE,FALSE
3689,0,FALSE,FALSE
